playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000061,1.0,Callum,Coleman-Jones,23,200,104,21,RIGHT,SA,2017,2019,Unley (SA)/Scotch College (SA)/Sturt (SANFL)/Richmond,20.0,nationalDraft,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000061.png?im=Scale,width=0.6,height=0.6",13/06/1999,CD_T100,NMFC,North Melbourne,Kangaroos,1.0,43.1,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,33.3,1.0,1.0,0.0,0.0,2.0,66.7,3.0,19.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,40.0,27.8,2.0,0.0,0.0,50.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,138.0,0.0,5.0,445.0,126.1,0.0,18.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,43.1,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,33.3,1.0,1.0,0.0,0.0,2.0,66.7,3.0,19.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,40.0,27.8,2.0,0.0,0.0,50.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,138.8,0.0,5.0,126.1,0.0,18.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0
CD_I1000068,0.0,Chris,Burgess,27,194,97,29,RIGHT,SA,2018,2019,Flinders Park (SA)/West Adelaide (SANFL),,other,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000068.png?im=Scale,width=0.6,height=0.6",26/11/1995,CD_T1000,GCFC,Gold Coast Suns,Suns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000072,7.0,John,Noble,26,180,72,9,RIGHT,SA,2019,2019,Plympton (SA)/West Adelaide (SANFL),14.0,other,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000072.png?im=Scale,width=0.6,height=0.6",25/03/1997,CD_T40,COLL,Collingwood,Magpies,7.0,80.3,1.0,1.0,0.0,1.0,20.0,2.0,50.0,4.0,0.0,22.7,34.0,0.0,0.0,0.0,65.0,74.3,152.0,596.0,113.0,83.0,0.0,4.0,10.0,50.0,4.0,1.0,29.0,35.0,0.0,0.0,0.0,0.0,20.0,7.0,32.0,70.9,4.0,4.0,117.0,3.3,42.0,0.0,0.0,3409.0,11.0,95.0,258.0,265.9,36.0,0.0,25.0,3.0,2.0,8.0,4.0,11.0,0.0,5.0,150.0,33.0,116.0,7.0,80.3,0.1,0.1,0.0,0.1,2.9,0.3,50.0,0.6,0.0,22.7,4.9,0.0,0.0,0.0,9.3,74.3,21.7,85.1,16.1,11.9,0.0,0.6,1.4,50.0,0.6,0.1,4.1,5.0,0.0,0.0,0.0,0.0,2.9,1.0,4.6,70.9,4.0,4.0,16.7,3.3,6.0,0.0,0.0,487.1,1.6,13.6,265.9,5.1,0.0,3.6,0.4,0.3,1.1,0.6,1.6,0.0,0.7,21.4,4.7,16.6
CD_I1000223,7.0,Liam,Baker,25,173,72,7,RIGHT,WA,2017,2018,Lake Grace (WA)/West Perth (WAFL)/Subiaco (WAFL),18.0,rookieElevation,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000223.png?im=Scale,width=0.6,height=0.6",27/01/1998,CD_T120,RICH,Richmond,Tigers,7.0,86.2,4.0,5.0,7.0,1.0,24.0,5.0,83.3,6.0,0.0,33.5,53.0,2.0,0.0,0.0,70.0,76.0,167.0,579.0,127.0,67.0,4.0,10.0,9.0,33.3,1.0,2.0,46.0,70.0,0.0,0.0,0.0,0.0,16.0,10.0,52.0,69.1,7.0,7.0,97.0,1.4,31.0,2.0,0.0,2626.0,14.0,98.0,88.0,389.5,35.0,0.0,42.0,12.0,6.0,9.0,6.0,15.0,1.0,7.0,158.0,28.0,105.0,7.0,86.2,0.6,0.7,7.0,0.1,3.4,0.7,83.3,0.9,0.0,33.5,7.6,0.3,0.0,0.0,10.0,76.0,23.9,82.7,18.1,9.6,0.6,1.4,1.3,33.3,0.1,0.3,6.6,10.0,0.0,0.0,0.0,0.0,2.3,1.4,7.4,69.1,7.0,7.0,13.9,1.4,4.4,0.3,0.0,375.2,2.0,14.0,389.5,5.0,0.0,6.0,1.7,0.9,1.3,0.9,2.1,0.1,1.0,22.6,4.0,15.0
CD_I1000860,7.0,Lachie,Schultz,25,178,81,5,RIGHT,VIC,2018,2019,Moama (NSW)/Bendigo U18/Williamstown (VFL),57.0,nationalDraft,MEDIUM_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000860.png?im=Scale,width=0.6,height=0.6",30/11/1997,CD_T60,FRE,Fremantle,Freo,7.0,79.8,4.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0,31.8,34.0,4.0,0.0,0.0,40.0,75.7,103.0,487.0,78.0,40.0,15.0,7.0,12.0,62.5,7.0,10.0,25.0,44.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,67.8,0.0,0.0,59.0,1.3,29.0,9.0,4.0,1838.0,6.0,123.0,235.0,280.6,2.0,0.0,39.0,5.0,16.0,4.0,5.0,20.0,10.0,5.0,107.0,22.0,73.0,7.0,79.8,0.6,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.1,31.8,4.9,0.6,0.0,0.0,5.7,75.7,14.7,69.6,11.1,5.7,2.1,1.0,1.7,62.5,1.0,1.4,3.6,6.3,0.0,0.0,0.0,0.0,2.4,0.0,0.7,67.8,0.0,0.0,8.4,1.3,4.1,1.3,0.6,262.6,0.9,17.6,280.6,0.3,0.0,5.6,0.7,2.3,0.6,0.7,2.9,1.4,0.7,15.3,3.1,10.4
CD_I1000864,3.0,Lachlan,Bramble,25,182,77,16,RIGHT,VIC,2020,2021,Sunbury (Vic)/Calder U18/Williamstown (VFL)/Box Hill Hawks (VFL),,preseason,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000864.png?im=Scale,width=0.6,height=0.6",19/04/1998,CD_T80,HAW,Hawthorn,Hawks,3.0,65.2,0.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,25.6,10.0,0.0,0.0,0.0,20.0,72.3,47.0,196.0,34.0,25.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,73.5,9.0,9.0,34.0,2.6,15.0,0.0,0.0,850.0,2.0,30.0,370.0,176.8,11.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,39.0,8.0,29.0,3.0,65.2,0.0,1.7,0.0,0.0,2.0,0.0,0.0,0.3,0.3,25.6,3.3,0.0,0.0,0.0,6.7,72.3,15.7,65.3,11.3,8.3,0.0,0.3,0.7,0.0,0.0,0.0,2.3,4.3,0.0,0.0,0.0,0.0,1.3,0.3,2.7,73.5,9.0,9.0,11.3,2.6,5.0,0.0,0.0,283.4,0.7,10.0,176.8,3.7,0.0,1.0,0.0,0.3,0.3,0.3,2.0,0.0,0.3,13.0,2.7,9.7
CD_I1000887,1.0,Mitch,Lewis,24,199,99,2,RIGHT,VIC,2016,2018,Whittlesea (Vic)/Assumption College (Vic)/Calder U18,76.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000887.png?im=Scale,width=0.6,height=0.6",14/10/1998,CD_T80,HAW,Hawthorn,Hawks,1.0,80.5,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,43.8,7.0,2.0,1.0,50.0,2.0,43.8,16.0,94.0,7.0,4.0,1.0,0.0,0.0,20.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,36.4,0.0,0.0,11.0,2.2,11.0,5.0,3.0,98.0,1.0,8.0,289.0,235.6,0.0,0.0,11.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,16.0,2.0,9.0,1.0,80.5,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,43.8,7.0,2.0,1.0,50.0,2.0,43.8,16.0,94.0,7.0,4.0,1.0,0.0,0.0,20.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,36.4,0.0,0.0,11.0,2.2,11.0,5.0,3.0,98.7,1.0,8.0,235.6,0.0,0.0,11.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,16.0,2.0,9.0
CD_I1000932,7.0,Tom,Doedee,26,190,90,39,RIGHT,VIC,2015,2018,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18",17.0,nationalDraft,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000932.png?im=Scale,width=0.6,height=0.6",01/03/1997,CD_T10,ADEL,Adelaide Crows,Crows,7.0,95.4,0.0,0.0,0.0,0.0,15.0,2.0,14.3,14.0,2.0,31.6,37.0,0.0,0.0,0.0,42.0,82.6,121.0,456.0,100.0,55.0,0.0,6.0,5.0,0.0,0.0,0.0,31.0,49.0,0.0,0.0,0.0,0.0,9.0,13.0,51.0,76.4,5.0,3.0,72.0,1.5,37.0,0.0,0.0,1726.0,41.0,57.0,130.0,355.3,23.0,0.0,25.0,8.0,0.0,38.0,1.0,11.0,0.0,1.0,117.0,17.0,80.0,7.0,95.4,0.0,0.0,0.0,0.0,2.1,0.3,14.3,2.0,0.3,31.6,5.3,0.0,0.0,0.0,6.0,82.6,17.3,65.1,14.3,7.9,0.0,0.9,0.7,0.0,0.0,0.0,4.4,7.0,0.0,0.0,0.0,0.0,1.3,1.9,7.3,76.4,5.0,3.0,10.3,1.5,5.3,0.0,0.0,246.6,5.9,8.1,355.3,3.3,0.0,3.6,1.1,0.0,5.4,0.1,1.6,0.0,0.1,16.7,2.4,11.4
CD_I1000937,0.0,Jack,Henry,24,192,96,38,RIGHT,VIC,2016,2018,"St Mary&apos;s, Geelong (Vic)/Geelong U18",16.0,rookieElevation,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000937.png?im=Scale,width=0.6,height=0.6",29/08/1998,CD_T70,GEEL,Geelong Cats,Cats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,301.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000953,7.0,Harry,McKay,25,200,106,10,LEFT,VIC,2015,2017,Warragul (Vic)/Gippsland U18,10.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1000953.png?im=Scale,width=0.6,height=0.6",24/12/1997,CD_T30,CARL,Carlton,Blues,7.0,92.4,9.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,21.0,41.1,37.0,23.0,11.0,47.8,7.0,67.4,86.0,525.0,58.0,47.0,5.0,8.0,8.0,39.3,5.0,11.0,7.0,13.0,2.0,0.0,0.0,15.4,20.0,2.0,5.0,64.4,0.0,0.0,73.0,5.6,61.0,21.0,14.0,1786.0,13.0,54.0,193.0,308.2,0.0,13.0,38.0,1.0,28.0,12.0,1.0,9.0,6.0,1.0,90.0,19.0,53.0,7.0,92.4,1.3,0.0,0.0,0.0,3.0,0.0,0.0,0.3,3.0,41.1,5.3,3.3,1.6,47.8,1.0,67.4,12.3,75.0,8.3,6.7,0.7,1.1,1.1,39.3,0.7,1.6,1.0,1.9,0.3,0.0,0.0,15.4,2.9,0.3,0.7,64.4,0.0,0.0,10.4,5.6,8.7,3.0,2.0,255.2,1.9,7.7,308.2,0.0,1.9,5.4,0.1,4.0,1.7,0.1,1.3,0.9,0.1,12.9,2.7,7.6
