name,property_Type,place,link
"The Originals de la Baie de Morlaix, Carantec", Hotel , France > Brittany > CARANTEC ,https://www.brittany-ferries.co.uk/holidays/details/hf2927/the-originals-de-la-baie-de-morlaix-carantec
"Hotel Ibis Périgueux Centre, Périgueux", Hotel , France > Aquitaine > PERIGUEUX ,https://www.brittany-ferries.co.uk/holidays/details/hf3001/hotel-ibis-perigueux-centre-perigueux
"Le Grand Hotel Abbatiale, Bénodet", Hotel , France > Brittany > BENODET ,https://www.brittany-ferries.co.uk/holidays/details/hf1897/le-grand-hotel-abbatiale-benodet
"Hotel des Pins, Erdeven", Hotel , France > Brittany > ERDEVEN ,https://www.brittany-ferries.co.uk/holidays/details/hf2831/hotel-des-pins-erdeven
"Hotel Ibis Styles Dinan, Dinan", Hotel , France > Brittany > DINAN ,https://www.brittany-ferries.co.uk/holidays/details/hf2790/hotel-ibis-styles-dinan-dinan
"Hotel du Cheval Blanc, St Pol de Léon", Hotel , France > Brittany > ST POL DE LEON ,https://www.brittany-ferries.co.uk/holidays/details/hf2797/hotel-du-cheval-blanc-st-pol-de-leon
"Hotel les Dunes, La Tranche sur Mer", Hotel , France > Atlantic Loire Valley > LA TRANCHE SUR MER ,https://www.brittany-ferries.co.uk/holidays/details/hf2405/hotel-les-dunes-la-tranche-sur-mer
"Hotel Aux Tamaris, Roscoff", Hotel , France > Brittany > ROSCOFF ,https://www.brittany-ferries.co.uk/holidays/details/hf0451/hotel-aux-tamaris-roscoff
"Hotel Ibis Styles Ouistreham, Ouistreham", Hotel , France > Normandy > OUISTREHAM ,https://www.brittany-ferries.co.uk/holidays/details/hf0370/hotel-ibis-styles-ouistreham-ouistreham
"Ibis Bayeux Port en Bessin, Port en Bessin", Hotel , France > Normandy > PORT EN BESSIN ,https://www.brittany-ferries.co.uk/holidays/details/hf2829/ibis-bayeux-port-en-bessin-port-en-bessin
"Hotel Aquilon, St Nazaire", Hotel , France > Atlantic Loire Valley > ST NAZAIRE ,https://www.brittany-ferries.co.uk/holidays/details/hf1837/hotel-aquilon-st-nazaire
"Ibis Styles St Malo Port, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf2982/ibis-styles-st-malo-port-st-malo
"Golf Hotel St Samson, Trégastel", Hotel , France > Brittany > PLEUMEUR BODOU ,https://www.brittany-ferries.co.uk/holidays/details/hf0395/golf-hotel-st-samson-tregastel
"Hotel le Fruitier, Villedieu les Poêles", Hotel , France > Normandy > VILLEDIEU LES POELES ,https://www.brittany-ferries.co.uk/holidays/details/hf1863/hotel-le-fruitier-villedieu-les-poeles
"Hotel le Louvre, Cherbourg", Hotel , France > Normandy > CHERBOURG ,https://www.brittany-ferries.co.uk/holidays/details/hf0149/hotel-le-louvre-cherbourg
"Le Pélican, Vernantes", Hotel , France > Atlantic Loire Valley > VERNANTES ,https://www.brittany-ferries.co.uk/holidays/details/hf2762/le-pelican-vernantes
"Hotel Chantereyne, Cherbourg", Hotel , France > Normandy > CHERBOURG ,https://www.brittany-ferries.co.uk/holidays/details/hf2956/hotel-chantereyne-cherbourg
"Hotel Ibis Plage, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf0493/hotel-ibis-plage-st-malo
"Hotel Armen le Triton, Roscoff", Hotel , France > Brittany > ROSCOFF ,https://www.brittany-ferries.co.uk/holidays/details/hf0449/hotel-armen-le-triton-roscoff
"Hotel Ibis Roscoff, Roscoff", Hotel , France > Brittany > ROSCOFF ,https://www.brittany-ferries.co.uk/holidays/details/hf0448/hotel-ibis-roscoff-roscoff
"Hotel la Résidence des Artistes, Roscoff", Hotel , France > Brittany > ROSCOFF ,https://www.brittany-ferries.co.uk/holidays/details/hf0450/hotel-la-residence-des-artistes-roscoff
"The Originals Cositel, Coutances", Hotel , France > Normandy > COUTANCES ,https://www.brittany-ferries.co.uk/holidays/details/hf2805/the-originals-cositel-coutances
"Hotel de l'Univers, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf0498/hotel-de-lunivers-st-malo
"Les Résidences d'Armor, Douarnenez", Hotel , France > Brittany > DOUARNENEZ TREBOUL ,https://www.brittany-ferries.co.uk/holidays/details/hf2974/les-residences-darmor-douarnenez
"Ambassadeur Hotel, Cherbourg", Hotel , France > Normandy > CHERBOURG ,https://www.brittany-ferries.co.uk/holidays/details/hf2454/ambassadeur-hotel-cherbourg
"Hotel le Champalud, Champtoceaux", Hotel , France > Atlantic Loire Valley > CHAMPTOCEAUX ,https://www.brittany-ferries.co.uk/holidays/details/hf0128/hotel-le-champalud-champtoceaux
"Novotel Blois, Blois", Hotel , France > Loire Valley > BLOIS ,https://www.brittany-ferries.co.uk/holidays/details/hf3004/novotel-blois-blois
"Hotel de l'Océan, Concarneau", Hotel , France > Brittany > CONCARNEAU ,https://www.brittany-ferries.co.uk/holidays/details/hf0160/hotel-de-locean-concarneau
"Hotel Latitude Ouest, Locronan", Hotel , France > Brittany > LOCRONAN ,https://www.brittany-ferries.co.uk/holidays/details/hf2958/hotel-latitude-ouest-locronan
"Hotel Escale Oceania, Quimper", Hotel , France > Brittany > QUIMPER ,https://www.brittany-ferries.co.uk/holidays/details/hf1927/hotel-escale-oceania-quimper
"Hotel Escale Oceania, Vannes", Hotel , France > Brittany > VANNES ,https://www.brittany-ferries.co.uk/holidays/details/hf0577/hotel-escale-oceania-vannes
"Hotel Escale Oceania, Orléans", Hotel , France > Loire Valley > ORLEANS ,https://www.brittany-ferries.co.uk/holidays/details/hf2828/hotel-escale-oceania-orleans
"Hotel de la Marine, Arromanches", Hotel , France > Normandy > ARROMANCHES ,https://www.brittany-ferries.co.uk/holidays/details/hf0018/hotel-de-la-marine-arromanches
